id,label,hemisphere,structure
2001,Precentral_L,L,cortex
2002,Precentral_R,R,cortex
2101,Frontal_Sup_L,L,cortex
2102,Frontal_Sup_R,R,cortex
2111,Frontal_Sup_Orb_L,L,cortex
2112,Frontal_Sup_Orb_R,R,cortex
2201,Frontal_Mid_L,L,cortex
2202,Frontal_Mid_R,R,cortex
2211,Frontal_Mid_Orb_L,L,cortex
2212,Frontal_Mid_Orb_R,R,cortex
2301,Frontal_Inf_Oper_L,L,cortex
2302,Frontal_Inf_Oper_R,R,cortex
2311,Frontal_Inf_Tri_L,L,cortex
2312,Frontal_Inf_Tri_R,R,cortex
2321,Frontal_Inf_Orb_L,L,cortex
2322,Frontal_Inf_Orb_R,R,cortex
2331,Rolandic_Oper_L,L,cortex
2332,Rolandic_Oper_R,R,cortex
2401,Supp_Motor_Area_L,L,cortex
2402,Supp_Motor_Area_R,R,cortex
2501,Olfactory_L,L,cortex
2502,Olfactory_R,R,cortex
2601,Frontal_Sup_Medial_L,L,cortex
2602,Frontal_Sup_Medial_R,R,cortex
2611,Frontal_Med_Orb_L,L,cortex
2612,Frontal_Med_Orb_R,R,cortex
2701,Rectus_L,L,cortex
2702,Rectus_R,R,cortex
3001,Insula_L,L,cortex
3002,Insula_R,R,cortex
4001,Cingulum_Ant_L,L,cortex
4002,Cingulum_Ant_R,R,cortex
4011,Cingulum_Mid_L,L,cortex
4012,Cingulum_Mid_R,R,cortex
4021,Cingulum_Post_L,L,cortex
4022,Cingulum_Post_R,R,cortex
4101,Hippocampus_L,L,subcortex
4102,Hippocampus_R,R,subcortex
4111,ParaHippocampal_L,L,cortex
4112,ParaHippocampal_R,R,cortex
4201,Amygdala_L,L,subcortex
4202,Amygdala_R,R,subcortex
5001,Calcarine_L,L,cortex
5002,Calcarine_R,R,cortex
5011,Cuneus_L,L,cortex
5012,Cuneus_R,R,cortex
5021,Lingual_L,L,cortex
5022,Lingual_R,R,cortex
5101,Occipital_Sup_L,L,cortex
5102,Occipital_Sup_R,R,cortex
5201,Occipital_Mid_L,L,cortex
5202,Occipital_Mid_R,R,cortex
5301,Occipital_Inf_L,L,cortex
5302,Occipital_Inf_R,R,cortex
5401,Fusiform_L,L,cortex
5402,Fusiform_R,R,cortex
6001,Postcentral_L,L,cortex
6002,Postcentral_R,R,cortex
6101,Parietal_Sup_L,L,cortex
6102,Parietal_Sup_R,R,cortex
6201,Parietal_Inf_L,L,cortex
6202,Parietal_Inf_R,R,cortex
6211,SupraMarginal_L,L,cortex
6212,SupraMarginal_R,R,cortex
6221,Angular_L,L,cortex
6222,Angular_R,R,cortex
6301,Precuneus_L,L,cortex
6302,Precuneus_R,R,cortex
6401,Paracentral_Lobule_L,L,cortex
6402,Paracentral_Lobule_R,R,cortex
7001,Caudate_L,L,subcortex
7002,Caudate_R,R,subcortex
7011,Putamen_L,L,subcortex
7012,Putamen_R,R,subcortex
7021,Pallidum_L,L,subcortex
7022,Pallidum_R,R,subcortex
7101,Thalamus_L,L,subcortex
7102,Thalamus_R,R,subcortex
8101,Heschl_L,L,cortex
8102,Heschl_R,R,cortex
8111,Temporal_Sup_L,L,cortex
8112,Temporal_Sup_R,R,cortex
8121,Temporal_Pole_Sup_L,L,cortex
8122,Temporal_Pole_Sup_R,R,cortex
8201,Temporal_Mid_L,L,cortex
8202,Temporal_Mid_R,R,cortex
8211,Temporal_Pole_Mid_L,L,cortex
8212,Temporal_Pole_Mid_R,R,cortex
8301,Temporal_Inf_L,L,cortex
8302,Temporal_Inf_R,R,cortex
9001,Cerebelum_Crus1_L,L,cerebellar
9002,Cerebelum_Crus1_R,R,cerebellar
9011,Cerebelum_Crus2_L,L,cerebellar
9012,Cerebelum_Crus2_R,R,cerebellar
9021,Cerebelum_3_L,L,cerebellar
9022,Cerebelum_3_R,R,cerebellar
9031,Cerebelum_4_5_L,L,cerebellar
9032,Cerebelum_4_5_R,R,cerebellar
9041,Cerebelum_6_L,L,cerebellar
9042,Cerebelum_6_R,R,cerebellar
9051,Cerebelum_7b_L,L,cerebellar
9052,Cerebelum_7b_R,R,cerebellar
9061,Cerebelum_8_L,L,cerebellar
9062,Cerebelum_8_R,R,cerebellar
9071,Cerebelum_9_L,L,cerebellar
9072,Cerebelum_9_R,R,cerebellar
9081,Cerebelum_10_L,L,cerebellar
9082,Cerebelum_10_R,R,cerebellar
9100,Vermis_1_2,L,cerebellar
9110,Vermis_3,R,cerebellar
9120,Vermis_4_5,L,cerebellar
9130,Vermis_6,R,cerebellar
9140,Vermis_7,L,cerebellar
9150,Vermis_8,R,cerebellar
9160,Vermis_9,L,cerebellar
9170,Vermis_10,R,cerebellar
